"","ID","Species","Site","Reads","fung_Rich","fung_Shannon","fungAxis01","fungAxis02","Dataset"
"1","CarCD","CarPyr","Divide",2501,8,1.08039637289933,0.183548664401606,0.176081887441069,"Fungi"
"2","CarGLV","CarPyr","Valley",677,5,0.704983085630879,0.250460162231186,0.0894702701236822,"Fungi"
"3","CarNWT","CarPyr","Ridge",31896,12,0.156305067414826,0.0643096104992584,0.242724175691978,"Fungi"
"4","DesGLV","DesCes","Valley",134,1,0,0.344388836688165,-0.18509536162971,"Fungi"
"5","DesNWT","DesCes","Ridge",3533,8,0.79354859415158,0.127258061623938,0.152794287354925,"Fungi"
"6","EriCD","EriSim","Divide",12888,31,2.02272078783076,-0.122150932243036,0.15587841562388,"Fungi"
"7","EriGLV","EriSim","Valley",17562,26,1.40696876168872,-0.0419478921905544,0.0118737805732303,"Fungi"
"8","EriNWT","EriSim","Ridge",17514,23,1.51770901670278,-0.113493564357532,0.247670408225166,"Fungi"
"9","FesGLV","FesBra","Valley",285,4,0.493573185225372,0.291759670560917,-0.0531603427732735,"Fungi"
"10","FesNWT","FesBra","Ridge",4353,10,1.28780932667318,0.033852038981217,0.214531599708915,"Fungi"
"11","GeuCD","GeuRos","Divide",27606,10,0.927637680598897,-0.0293716689937093,0.310010025593339,"Fungi"
"12","GeuGLV","GeuRos","Valley",29612,15,0.139081731096687,-0.0171896310163435,0.337898255144592,"Fungi"
"13","GeuNWT","GeuRos","Ridge",12590,11,1.11069486349825,0.000568316908269091,0.291555562100659,"Fungi"
"14","KobCD","KobMyo","Divide",992,4,1.0462765460806,0.197057273985235,0.135536813140312,"Fungi"
"15","KobGLV","KobMyo","Valley",16975,27,1.46848395260837,0.0247043200623981,0.0552965683982842,"Fungi"
"16","KobNWT","KobMyo","Ridge",661,5,1.17895973972679,0.265264852737737,-0.020309792022376,"Fungi"
"17","LuzCD","LuzSpi","Divide",81,3,0.438640292037925,0.310222321278706,-0.250256258534374,"Fungi"
"18","LuzGLV","LuzSpi","Valley",1528,5,1.06236133571519,0.219145462458596,0.114816569299302,"Fungi"
"19","LuzNWT","LuzSpi","Ridge",3994,6,1.44945671863071,0.137711800954952,0.11490565323676,"Fungi"
"20","OxyCD","OxyDig","Divide",339,8,1.21012467810801,0.21434638980204,0.00660697961959108,"Fungi"
"21","OxyGLV","OxyDig","Valley",1287,24,2.4356805495956,0.0265279564541246,-0.0653498892648791,"Fungi"
"22","OxyNWT","OxyDig","Ridge",372,5,0.656689743638954,0.291184825911003,-0.070551842061013,"Fungi"
"23","SilCD","SilAca","Divide",4035,3,0.172270937231411,0.181583863950283,0.282903287837671,"Fungi"
"24","SilGLV","SilAca","Valley",2002,2,0.00429652955446136,0.211914983288377,0.252949958570636,"Fungi"
"25","SilNWT","SilAca","Ridge",4336,13,1.79794776764949,0.0698824099405075,0.161482536376527,"Fungi"
"26","TriCD","TriSpi","Divide",77,5,1.04198323431232,0.306041297722225,-0.25482215488956,"Fungi"
"27","TriGLV","TriSpi","Valley",1052,6,1.41258726259577,0.211067558074237,0.0237588524145174,"Fungi"
"28","TriNWT","TriSpi","Ridge",5421,4,0.0378171155094659,0.149030074808576,0.242514401090261,"Fungi"
